序号,代码,市场,价格,建议,摘要,状态,耗时(s)
1,000518,深圳A股,3.89,ANALYZED,"{""job_id"": ""216318f5e3404ac99744fc8819198e10"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:09.895867+00:00""}",成功,0.0
2,600280,上海A股,4.02,ANALYZED,"{""job_id"": ""bc6189be1c954fc898430356f22af4cb"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:11.921474+00:00""}",成功,0.0
3,300124,深圳A股,72.46,ANALYZED,"{""job_id"": ""c886913e99274aba99917e15fa74107e"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:14.565759+00:00""}",成功,0.6
4,301371,深圳A股,30.24,ANALYZED,"{""job_id"": ""b54fb24098804d7c8f86673d7df32b0d"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:16.594304+00:00""}",成功,0.0
5,002697,深圳A股,7.10,ANALYZED,"{""job_id"": ""a57b25cd9f1c4342aa01e7ab7f0e3fe2"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:19.815538+00:00""}",成功,1.2
6,600779,上海A股,57.23,ANALYZED,"{""job_id"": ""6ce2671b8cb946fa975b469e85146b9d"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:23.659774+00:00""}",成功,1.8
7,300887,深圳A股,13.64,ANALYZED,"{""job_id"": ""825ff4b8ac804713b6fe3f86363af329"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:33.567623+00:00""}",成功,7.9
8,301179,深圳A股,17.86,ANALYZED,"{""job_id"": ""e0d4fdcb8d3d4077aecd37e30fec3430"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:42.435990+00:00""}",成功,6.9
9,600186,上海A股,4.88,ANALYZED,"{""job_id"": ""bc4e4e32202f4b2cbe1877ca676c1a3e"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:07:50.218933+00:00""}",成功,5.8
10,300613,深圳A股,56.08,ANALYZED,"{""job_id"": ""ac655c21457c421984f26fb0cdfd6af3"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:01.350273+00:00""}",成功,9.1
11,002164,深圳A股,4.92,ANALYZED,"{""job_id"": ""462ab18f76084e9da431205e369b7b03"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:07.950141+00:00""}",成功,4.6
12,002202,深圳A股,14.56,ANALYZED,"{""job_id"": ""8bde8fe58a6d412cadbb2b41e2ddfb1f"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:15.588232+00:00""}",成功,5.7
13,002201,深圳A股,13.94,ANALYZED,"{""job_id"": ""1f334e9140884989a1a6589fabe9ae3c"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:23.059959+00:00""}",成功,5.5
14,300019,深圳A股,22.91,ANALYZED,"{""job_id"": ""2fa05affb2934378bdfd498eed0c3431"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:34.036062+00:00""}",成功,9.0
15,300570,深圳A股,98.60,ANALYZED,"{""job_id"": ""345234a378a248d2b03535b737c91c3c"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:41.772301+00:00""}",成功,5.7
16,300118,深圳A股,20.76,ANALYZED,"{""job_id"": ""95eeede86cee49a399f31872c0b4737d"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:08:50.739984+00:00""}",成功,7.0
17,300775,深圳A股,30.59,ANALYZED,"{""job_id"": ""09f4ab706fd8447b912352e13c31d415"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:09:00.257104+00:00""}",成功,7.5
18,600183,上海A股,69.35,ANALYZED,"{""job_id"": ""615819f0b64c4147b67a5ce0bc8a86c9"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:09:08.227915+00:00""}",成功,4.8
19,300129,深圳A股,15.60,ANALYZED,"{""job_id"": ""14171faa4c3843d6a75ead7983b4f12e"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:09:17.466821+00:00""}",成功,7.2
20,600879,上海A股,26.31,ANALYZED,"{""job_id"": ""030b694becb4463bb920e99677b3972e"", ""status"": ""pending"", ""created_at"": ""2026-06-07T11:09:24.782018+00:00""}",成功,5.3
